Category,BatchSize,Workers,QueueSize,TimeoutMS,RPS,P50,P95,P99,Success,Rejected
Latency,1,4,100,10,1446.34,28.556676,61.383264,65.345095,293,207
Latency,1,4,100,20,1459.01,32.246448,51.818957,67.928726,235,265
Latency,2,4,100,10,1035.20,43.426046,79.591873,99.184544,325,175
Latency,2,4,100,20,1013.24,37.814558,97.108252,123.32556,340,160
Latency,4,4,100,10,1127.89,38.653515,83.559632,97.861588,375,125
Latency,4,4,100,20,923.75,45.85938,95.95183,108.830869,481,19
Latency,1,8,100,10,1072.19,44.6046,74.051938,97.57642,231,269
Latency,1,8,100,20,1131.44,40.209792,73.545593,100.406198,213,287
Latency,2,8,100,10,1052.62,40.421201,96.7298,114.30656,409,91
Latency,2,8,100,20,918.88,43.936135,115.241402,140.50245,490,10
Latency,4,8,100,10,1369.56,33.48933,65.436847,78.627989,451,49
Latency,4,8,100,20,1309.60,31.427534,78.507185,96.563059,424,76
Latency,1,16,100,10,1302.98,33.674509,63.691803,74.534222,268,232
Latency,1,16,100,20,1217.78,39.189821,69.804402,81.173393,200,300
Latency,2,16,100,10,1289.06,32.417802,75.405855,124.561698,347,153
Latency,2,16,100,20,1144.49,35.485204,82.660298,110.766404,430,70
Latency,4,16,100,10,1571.56,29.373898,56.133306,61.984751,372,128
Latency,4,16,100,20,1394.16,28.726825,67.558919,81.096573,449,51
Throughput,8,4,1000,100,1437.46,64.55974,117.814682,157.221575,1000,0
Throughput,8,4,1000,200,1647.99,57.210812,97.187252,116.706785,1000,0
Throughput,16,4,1000,100,1866.61,46.312841,92.385234,112.641105,1000,0
Throughput,16,4,1000,200,1671.11,49.739405,114.72138,172.39739,1000,0
Throughput,32,4,1000,100,1632.10,55.370704,101.585017,114.733509,1000,0
Throughput,32,4,1000,200,1269.27,66.486184,161.766569,206.981173,1000,0
Throughput,8,8,1000,100,1615.07,55.71273,117.703418,130.603293,1000,0
Throughput,8,8,1000,200,1631.72,54.244173,110.418741,135.951051,1000,0
Throughput,16,8,1000,100,1541.15,56.500016,122.987445,170.925746,1000,0
Throughput,16,8,1000,200,1733.91,46.363657,111.676583,133.886145,1000,0
Throughput,32,8,1000,100,642.96,49.139532,1.058613615s,1.061525655s,1000,0
Throughput,32,8,1000,200,1614.11,57.325936,97.459374,111.039564,1000,0
Throughput,8,16,1000,100,1447.37,61.044588,128.131304,206.106801,1000,0
Throughput,8,16,1000,200,1626.55,57.889791,97.986346,126.570079,1000,0
Throughput,16,16,1000,100,1566.60,56.250694,136.954859,152.142661,1000,0
Throughput,16,16,1000,200,1478.18,60.580388,135.582154,155.628487,1000,0
Throughput,32,16,1000,100,1538.62,58.766736,110.869551,143.427231,1000,0
Throughput,32,16,1000,200,1286.29,62.696287,192.500204,231.00389,1000,0
Stability,16,8,50,50,1774.47,104.178528,171.547336,185.826865,1183,817
Stability,16,8,100,50,1926.20,92.540007,173.575495,213.80153,1045,955
Stability,16,8,500,50,1602.44,110.172408,254.690921,301.898872,1634,366
Stability,16,8,1000,50,1420.31,121.391987,262.949945,324.593721,2000,0
Stability,16,8,5000,50,895.13,108.970076,1.241974705s,1.335224981s,2000,0
